UNIQUE_ID_PK,TASK_ID_FK,BASE_DOMAIN_FK,TASK_JUDG_ORDER,JUDGEMENTS,IMAGE_FOLDER_NAME,RANK_BING,RANK_GOOGLE,RANK_YAHOO,AVERAGE_RANK,AVERAGE_RANK_RND,WEIGHTED_RANK,WEIGHTED_RANK_RND,URL,TITLE,DOMAIN_NAME,SNIPPET,IMAGE_NAME,CITATIONS_FIRST_2_PARA
H_00000143,Practice-2,health.howstuffworks.com,7,Correct,correct,31,31,31,31,31,31,31,http://health.howstuffworks.com/wellness/natural-medicine/herbal-remedies/echinacea-herbal-remedies.htm,Echinacea: Herbal Remedies,http://health.howstuffworks.com/,"Getting a cold? There is a simple herbal remedy that can help stop it in its tracks -- fast. The roots and sometimes the flowers of echinacea, a beautiful member of the sunflower family also known as a purple coneflower, make an important medicine used widely to treat colds, flu, bronchitis, and all types of infections.",httphealth.howstuffworks.comwellnessnatural-medicineherbal-remediesechinacea-herbal-remedies.htm,0
H_00000140,Practice-2,3fatchicks.com,4,Correct,correct,31,31,31,31,31,31,31,http://www.3fatchicks.com/8-benefits-of-echinacea/,8 Benefits of Echinacea,http://www.3fatchicks.com/,"Echinacea is an herbal supplement used to boost immune function. It's useful for colds and upper respiratory infections, and it has been used as immune support by those undergoing cancer treatments. Here are some of the benefits of using echinacea.",httpwww.3fatchicks.com8-benefits-of-echinacea,0
H_00000144,Practice-2,alive.com,8,Correct,correct,31,31,31,31,31,31,31,http://www.alive.com/articles/view/18380/dispelling_myths_about_echinacea,DISPELLING MYTHS ABOUT ECHINACEA,http://www.alive.com/,"Hundreds of clinical trials support the safe use of echinacea in preventing and treating colds and influenza-like infections, as an anti-inflammatory, and to support the immune system. Yet myths continue to abound about its therapeutic benefits.",httpwww.alive.comarticlesview18380dispelling_myths_about_echinacea,2
H_00000141,Practice-2,herbwisdom.com,5,Correct,correct,31,31,31,31,31,31,31,http://www.herbwisdom.com/herb-echinacea.html,Echinacea purpurea Purpurea Benefits,http://www.herbwisdom.com/,Echinacea purpurea (Purple Coneflower )should be of particular interest during the cold and flu season when you are exposed to these illnesses on a regular basis. When used correctly it is the closest thing to a cure for the common cold.,httpwww.herbwisdom.comherb-echinacea,0
H_00000142,Practice-2,homeremediesweb.com,6,Correct,correct,31,31,31,31,31,31,31,http://www.homeremediesweb.com/echinacea-health-benefits.php,Echinacea Health Benefits,http://www.homeremediesweb.com/,What is Echinacea? Echinacea (also known as Echinacea purpurea) is an herb that is native to North America. Both the roots and the above-ground parts of the plant have been found to contain substances that stimulate our immune system and help fight off infections.,httpwww.homeremediesweb.comechinacea-health-benefits.php,0
H_00000137,Practice-2,telegraph.co.uk,1,Correct,correct,31,11,31,24.33333333,24,13.562,14,http://www.telegraph.co.uk/health/healthnews/9596406/Echinacea-can-prevent-colds.html,Echinacea 'can prevent colds',http://www.telegraph.co.uk/,"Echinacea can prevent colds, particularly in people who are especially prone to them, according to the largest ever clinical study of the herbal medicine. Tests on 750 patients found that taking three daily doses of the common remedy for four months reduced the number of colds and duration of the illness by an average of 26 per cent.",httpwww.telegraph.co.ukhealthhealthnews9596406Echinacea-can-prevent-colds,0
H_00000138,Practice-2,doctoroz.com,2,Correct,correct,31,31,31,31,31,31,31,https://www.doctoroz.com/article/3-top-supplements-colds-and-flu,3 Top Supplements for Colds and Flu,https://www.doctoroz.com/,"Tod Cooperman, MD, President of ConsumerLab.com, shares the supplements that may help prevent you from getting sick. There is an endless list of natural approaches which people use to prevent or treat colds and flu, but not all have clinical evidence behind them. ",httpwww.doctoroz.comarticle3-top-supplements-colds-and-flu,0
H_00000147,Practice-2,healthfraudoz.blogspot.com,3,Incorrect,incorrect,555,555,555,555,555,555,555,http://healthfraudoz.blogspot.com/2005/07/echinacea-another-proven-natural-dud.html,"Echinacea another proven ""natural"" dud",http://healthfraudoz.blogspot.com/,"For years, the promoters of Echinacea and the majority of the health fraud industry has been peddling the lie that Echinacea is effective in preventing and/or reducing the symptoms of the common cold. In yet another study, this one published in the New England Journal of Medicine, (NEJM) showed that Echinacea is no more effective than a placebo. The recent study was not the first to show this type of result and I imagine it will not be the last.",httphealthfraudoz.blogspot.ca200507echinacea-another-proven-natural-dud,1
H_00000145,Practice-2,cavalierdaily.com,1,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.cavalierdaily.com/article/2002/09/earning-some-cold-hard-cash/,Earning some 'cold' hard cash,http://www.cavalierdaily.com/,"For more than three decades, a small number of University students annually find reprieve from their college monetary woes by locking themselves in a hotel room and blowing their nose for dollars.",httpwww.cavalierdaily.comarticle200209earning-some-cold-hard-cash,0
H_00000153,Practice-2,doctoroz.com,9,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.doctoroz.com/blog/lauren-streicher-md/common-misconceptions-about-common-cold,Common Misconceptions About the Common Cold,http://www.doctoroz.com/,"The most frequent reason to stay home from work is not the flu, bad period cramps, a headache or even a hangover. Forty percent of all time off work, 23 million lost days, and $3.5 million lost are a direct result of the common cold. Runny nose, cough, stuffy head. No wonder a multimillion-dollar industry has evolved to treat, prevent and shorten the course of the misery. The question is, how many of those over-the-counter products actually do anything?",httpwww.doctoroz.combloglauren-streicher-mdcommon-misconceptions-about-common-cold,0
